params,startmove,response,score
36,-0.809,-0.707,1.292683218443659
36,-0.707,-0.707,1.2951633439747983
36,-0.588,-0.707,1.295903559805983
36,-0.454,-0.707,1.2997354533628163
36,-0.309,-0.707,1.3012728518552068
36,-0.156,-0.707,1.2986440701913273
36,0.0,-0.707,1.295901855290813
36,0.156,-0.707,1.2974762148037309
36,0.309,-0.707,1.276394402231298
36,0.454,-0.707,1.2776624398412983
36,0.588,-0.707,1.2479556594338566
36,0.707,-0.707,1.249451089065943
36,0.809,-0.707,1.272041787324254
36,0.891,-0.707,1.2729128424314087
36,0.951,-0.707,1.2735685800596517
36,0.988,-0.707,1.2742006439978286
36,1.0,-0.707,1.2745632893540646
36,-1.0,-0.588,1.2910551809059345
36,-0.988,-0.588,1.2907904638504077
36,-0.951,-0.588,1.2925002514505195
36,-0.891,-0.588,1.292496294620042
36,-0.809,-0.588,1.2930285660211311
36,-0.707,-0.588,1.2945791550432704
36,-0.588,-0.588,1.2951391715701592
36,-0.454,-0.588,1.2985938523910712
36,-0.309,-0.588,1.30021797304744
36,-0.156,-0.588,1.2978610078789388
36,0.0,-0.588,1.295608519945487
36,0.156,-0.588,1.297354761508075
36,0.309,-0.588,1.2777450661160374
36,0.454,-0.588,1.2788903116772912
36,0.588,-0.588,1.250242783290138
36,0.707,-0.588,1.2505670316885302
36,0.809,-0.588,1.2734050336951444
36,0.891,-0.588,1.2748793071660074
36,0.951,-0.588,1.2748712813919487
36,0.988,-0.588,1.275254403671818
36,1.0,-0.588,1.2760944957663796
36,-1.0,-0.454,1.2893156246418527
36,-0.988,-0.454,1.2897290881664691
36,-0.951,-0.454,1.2904872853592044
36,-0.891,-0.454,1.2906004338202566
36,-0.809,-0.454,1.2917362930012146
36,-0.707,-0.454,1.2939899808980977
36,-0.588,-0.454,1.2947146883508478
36,-0.454,-0.454,1.2957404552553664
36,-0.309,-0.454,1.298368685209824
36,-0.156,-0.454,1.2952018265837908
36,0.0,-0.454,1.2944861730786028
36,0.156,-0.454,1.296574439596473
36,0.309,-0.454,1.2796991580602413
36,0.454,-0.454,1.280410412882047
36,0.588,-0.454,1.2539365107649227
36,0.707,-0.454,1.254484526067315
36,0.809,-0.454,1.2751676104131624
36,0.891,-0.454,1.2767628871053676
36,0.951,-0.454,1.2767333021035538
36,0.988,-0.454,1.2765315219241196
36,1.0,-0.454,1.2767747166517456
36,-1.0,-0.309,1.2889498919073434
36,-0.988,-0.309,1.2881260331988365
36,-0.951,-0.309,1.2880546982424912
36,-0.891,-0.309,1.288888362171963
36,-0.809,-0.309,1.2898857787869067
36,-0.707,-0.309,1.2919248332098576
36,-0.588,-0.309,1.2936931198554817
36,-0.454,-0.309,1.2941843553004437
36,-0.309,-0.309,1.2949489510062093
36,-0.156,-0.309,1.2928564920178232
36,0.0,-0.309,1.2932026719668877
36,0.156,-0.309,1.29465565425696
36,0.309,-0.309,1.280546933138664
36,0.454,-0.309,1.2812063962849296
36,0.588,-0.309,1.2567627162712298
36,0.707,-0.309,1.2579377569683525
36,0.809,-0.309,1.276695407059119
36,0.891,-0.309,1.2775339155531302
36,0.951,-0.309,1.2788315430323927
36,0.988,-0.309,1.2779458090211098
36,1.0,-0.309,1.2791471435077317
36,-1.0,-0.156,1.2869901012345095
36,-0.988,-0.156,1.2865384741949535
36,-0.951,-0.156,1.2871133235279777
36,-0.891,-0.156,1.287705901905662
36,-0.809,-0.156,1.2880533241403984
36,-0.707,-0.156,1.2893777523505119
36,-0.588,-0.156,1.290158416878125
36,-0.454,-0.156,1.2912723131951072
36,-0.309,-0.156,1.2923591218632415
36,-0.156,-0.156,1.2900326008744827
36,0.0,-0.156,1.290651702869514
36,0.156,-0.156,1.292430393649366
36,0.309,-0.156,1.2804476723305465
36,0.454,-0.156,1.2827232803348272
