repetitions,iteration,discountfactor,startmove,response,bucketcount,radial,exploration,threshhold,zero,negone,ucbscore,simplescore
10000,2,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.2748125386112825,1.4806205754191442
10000,3,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.2716318745418922,1.483602683920525
10000,4,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.272343762057544,1.4823661095580234
10000,5,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.2700258659833255,1.480521661041021
10000,6,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.2739705572648548,1.4765817646392434
10000,7,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.271917882966962,1.4789840049251868
10000,8,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.271935119114907,1.477338978699372
10000,9,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.274835614102,1.4711900616827012
10000,0,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.413654978724404,1.2997059607444528
10000,1,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.4137585683280456,1.2468871879458547
10000,2,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.4138689247130158,1.28123643362218
10000,3,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.412296755304957,1.2731234621545762
10000,4,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.4144580735348578,1.3146195439502804
10000,5,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.4107493092059997,1.2375733542847251
10000,6,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.4096932086428478,1.2615969828519427
10000,7,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.416807665914042,1.2513839779900404
10000,8,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.4100311294543406,1.25315853901313
10000,9,0.999,None,None,4,0,0.0625,0.588,0.0,0.0,1.4147293331972244,1.3392541412594028
10000,0,0.999,None,None,4,0,0.0625,0.454,0.0,0.0,1.5049750510988154,1.1999323792932
