repetitions,iteration,discountfactor,startmove,response,K,nwidth,explore,threshhold,zero,negone,knnscore,simplescore
1000,-1,0.99,-0.988,-0.951,2,0.2,1.0,0.988,-0.692,0.0,0.25396291352688655,0.8836453298119226
1000,-1,0.99,-0.988,-0.891,2,0.2,1.0,0.988,-0.692,0.0,0.254097252618256,0.8835081101122075
1000,-1,0.99,-0.988,-0.809,2,0.2,1.0,0.988,-0.692,0.0,0.2543518731983385,0.882507044800003
1000,-1,0.99,-0.988,-0.707,2,0.2,1.0,0.988,-0.692,0.0,0.2545588205100849,0.8809122889053215
1000,-1,0.99,-0.988,-0.588,2,0.2,1.0,0.988,-0.692,0.0,0.26296753943343276,0.9081071719666723
1000,-1,0.99,-0.988,-0.454,2,0.2,1.0,0.988,-0.692,0.0,0.26361019099726807,0.9064926027081586
1000,-1,0.99,-0.988,-0.309,2,0.2,1.0,0.988,-0.692,0.0,0.2642088811771336,0.9039146441795125
1000,-1,0.99,-0.988,-0.156,2,0.2,1.0,0.988,-0.692,0.0,0.2643002059847285,0.899340829889563
1000,-1,0.99,-0.988,0.0,2,0.2,1.0,0.988,-0.692,0.0,0.2640861241215467,0.8932120641410467
1000,-1,0.99,-0.988,0.156,2,0.2,1.0,0.988,-0.692,0.0,0.2636062567053232,0.8858805225778537
1000,-1,0.99,-0.988,0.309,2,0.2,1.0,0.988,-0.692,0.0,0.2630343449430653,0.8785179103970502
1000,-1,0.99,-0.988,0.454,2,0.2,1.0,0.988,-0.692,0.0,0.26227685583045607,0.8701924933938412
1000,-1,0.99,-0.988,0.588,2,0.2,1.0,0.988,-0.692,0.0,0.26139157348425446,0.8615547246645111
1000,-1,0.99,-0.988,0.707,2,0.2,1.0,0.988,-0.692,0.0,0.2608023752453708,0.8545065594902089
1000,-1,0.99,-0.988,0.809,2,0.2,1.0,0.988,-0.692,0.0,0.26041215158371356,0.8490694113836091
1000,-1,0.99,-0.988,0.891,2,0.2,1.0,0.988,-0.692,0.0,0.260219016824916,0.8443623047828855
