iteration,startmove,response,score
0,0.988,-0.707,1.2314764545323063
0,1.0,-0.707,1.2325877387134925
0,-1.0,-0.588,1.2521328643403515
0,-0.988,-0.588,1.2529557846794372
0,-0.951,-0.588,1.2541021645616552
0,-0.891,-0.588,1.2551207777621125
0,-0.809,-0.588,1.2549534440953278
0,-0.707,-0.588,1.2562333898090654
0,-0.588,-0.588,1.257162494386804
0,-0.454,-0.588,1.2575698955298031
0,-0.309,-0.588,1.2575240020511147
0,-0.156,-0.588,1.2520555302258525
0,0.0,-0.588,1.2481893911084463
0,0.156,-0.588,1.2484024351504568
0,0.309,-0.588,1.2397058884341225
0,0.454,-0.588,1.2423439444022604
0,0.588,-0.588,1.2360559538614042
0,0.707,-0.588,1.235417142587589
0,0.809,-0.588,1.2323246295238819
0,0.891,-0.588,1.2351098643608607
0,0.951,-0.588,1.2374794759303454
0,0.988,-0.588,1.2349861873523562
0,1.0,-0.588,1.2348666927231982
0,-1.0,-0.454,1.2505100624384724
0,-0.988,-0.454,1.252138076544491
0,-0.951,-0.454,1.254220348983413
0,-0.891,-0.454,1.2524519170085002
0,-0.809,-0.454,1.2562123542527281
0,-0.707,-0.454,1.2533664977978056
0,-0.588,-0.454,1.2569489378315564
0,-0.454,-0.454,1.2536441486132186
0,-0.309,-0.454,1.2542403077181137
0,-0.156,-0.454,1.2511348349852713
0,0.0,-0.454,1.2456040340245804
0,0.156,-0.454,1.252495751276268
0,0.309,-0.454,1.2421585156895685
0,0.454,-0.454,1.2419088312602162
0,0.588,-0.454,1.2366607752947096
0,0.707,-0.454,1.2381724113758266
0,0.809,-0.454,1.2356913731146064
0,0.891,-0.454,1.2362368275236042
0,0.951,-0.454,1.2363449709278211
0,0.988,-0.454,1.2397975050745023
0,1.0,-0.454,1.2385562219101445
0,-1.0,-0.309,1.2476376446063377
0,-0.988,-0.309,1.249758476166896
0,-0.951,-0.309,1.2508644930837047
0,-0.891,-0.309,1.2521597089547356
0,-0.809,-0.309,1.24911219123877
0,-0.707,-0.309,1.2524766942263352
0,-0.588,-0.309,1.2549398379281935
0,-0.454,-0.309,1.2517099331909103
0,-0.309,-0.309,1.253010639079631
0,-0.156,-0.309,1.2517834106743515
0,0.0,-0.309,1.2461433831550106
0,0.156,-0.309,1.2475079071260304
0,0.309,-0.309,1.2434455766816708
0,0.454,-0.309,1.2441648900852829
0,0.588,-0.309,1.238602654564053
0,0.707,-0.309,1.2371000922180528
0,0.809,-0.309,1.2405393053683753
0,0.891,-0.309,1.2390331671961365
0,0.951,-0.309,1.2400851305025287
0,0.988,-0.309,1.2383327877976453
0,1.0,-0.309,1.2416769671405212
0,-1.0,-0.156,1.2483387207968744
0,-0.988,-0.156,1.2485255357086273
0,-0.951,-0.156,1.248452206034678
0,-0.891,-0.156,1.2486625124421475
0,-0.809,-0.156,1.2508222356124672
0,-0.707,-0.156,1.252662950268585
0,-0.588,-0.156,1.2517522832454873
0,-0.454,-0.156,1.2512400954527614
0,-0.309,-0.156,1.2490829199379996
0,-0.156,-0.156,1.2474033550953212
0,0.0,-0.156,1.2466697435228629
0,0.156,-0.156,1.2484121125198318
0,0.309,-0.156,1.244263432536341
0,0.454,-0.156,1.2456515206785221
0,0.588,-0.156,1.2393241703968294
0,0.707,-0.156,1.2409747988103672
0,0.809,-0.156,1.2429210021454158
0,0.891,-0.156,1.2393747771307564
0,0.951,-0.156,1.2436235958767932
0,0.988,-0.156,1.2422185859586845
0,1.0,-0.156,1.2442583385545067
0,-1.0,0.0,1.2471062632453276
0,-0.988,0.0,1.244977386301826
0,-0.951,0.0,1.2457163386618924
0,-0.891,0.0,1.2462816256236617
0,-0.809,0.0,1.2473367780458848
0,-0.707,0.0,1.2488491105200175
0,-0.588,0.0,1.2499182717849757
0,-0.454,0.0,1.2475306978250793
0,-0.309,0.0,1.2493100016525898
0,-0.156,0.0,1.24585763657613
0,0.0,0.0,1.2464543696604908
0,0.156,0.0,1.2491155631891862
0,0.309,0.0,1.2437102490602565
0,0.454,0.0,1.247421715941136
0,0.588,0.0,1.2403372107304178
0,0.707,0.0,1.2414374491338749
0,0.809,0.0,1.2418381664716303
0,0.891,0.0,1.2412018481567126
0,0.951,0.0,1.2446030255311533
0,0.988,0.0,1.2461085421146252
0,1.0,0.0,1.2449483195066264
0,-1.0,0.156,1.2447017615739826
0,-0.988,0.156,1.2455917948718636
0,-0.951,0.156,1.2438529502330478
0,-0.891,0.156,1.2441665275519405
0,-0.809,0.156,1.2478185832653998
0,-0.707,0.156,1.2465594375420168
0,-0.588,0.156,1.2461233004502867
0,-0.454,0.156,1.2447123628762777
0,-0.309,0.156,1.2461957690096672
0,-0.156,0.156,1.2455307847447097
0,0.0,0.156,1.245935333962488
0,0.156,0.156,1.246212085564532
0,0.309,0.156,1.245386669566868
0,0.454,0.156,1.2458575610271252
0,0.588,0.156,1.2432261930686879
0,0.707,0.156,1.2444221963292497
0,0.809,0.156,1.245306318795259
0,0.891,0.156,1.2423530298319825
0,0.951,0.156,1.2446522476392068
0,0.988,0.156,1.24587074847035
0,1.0,0.156,1.2487259848230114
0,-1.0,0.309,1.2420978927247865
0,-0.988,0.309,1.2412919204873594
0,-0.951,0.309,1.2431872173220113
0,-0.891,0.309,1.2426113011641096
0,-0.809,0.309,1.2436216531265347
0,-0.707,0.309,1.2410122387095777
0,-0.588,0.309,1.2455194990470466
0,-0.454,0.309,1.2423739082905891
0,-0.309,0.309,1.244669248829118
0,-0.156,0.309,1.243190780767765
0,0.0,0.309,1.2436996270205536
0,0.156,0.309,1.2479791710453123
0,0.309,0.309,1.2469272240400597
0,0.454,0.309,1.242310202934971
0,0.588,0.309,1.2458638692398407
0,0.707,0.309,1.2446414074125467
0,0.809,0.309,1.2423047339513857
0,0.891,0.309,1.2467247548564404
0,0.951,0.309,1.2443634838462185
0,0.988,0.309,1.248935195594012
0,1.0,0.309,1.2458647783563683
