repetitions,iteration,discountfactor,startmove,response,threshhold,zero,negone,gpucbscore,simplescore
1000,-1,0.99,-0.988,-0.707,0.707,0,0,1.2898577665411874,1.337277490609856
1000,-1,0.99,-0.988,-0.588,0.707,0,0,1.2875901589726013,1.3332120934782112
1000,-1,0.99,-0.988,-0.454,0.707,0,0,1.2881051039927192,1.327233389914047
1000,-1,0.99,-0.988,-0.309,0.707,0,0,1.303440678280234,1.3064250800037565
1000,-1,0.99,-0.988,-0.156,0.707,0,0,1.3159099276317419,1.3470559486227227
1000,-1,0.99,-0.988,0.0,0.707,0,0,1.276553614381938,1.2649696665283794
1000,-1,0.99,-0.988,0.156,0.707,0,0,1.2772566682327207,1.2652097583571413
1000,-1,0.99,-0.988,0.309,0.707,0,0,1.301475066743416,1.2751862414612054
1000,-1,0.99,-0.988,0.454,0.707,0,0,1.285785103701377,1.279070912990439
1000,-1,0.99,-0.988,0.588,0.707,0,0,1.2949416313206512,1.2774503166349693
1000,-1,0.99,-0.988,0.707,0.707,0,0,1.3312839844472844,1.3261641371098252
1000,-1,0.99,-0.988,0.809,0.707,0,0,1.276501131528372,1.257289896453102
1000,-1,0.99,-0.988,0.891,0.707,0,0,1.2863506271964924,1.2774374522943153
1000,-1,0.99,-0.988,0.951,0.707,0,0,1.3027082776660905,1.2979206583631622
1000,-1,0.99,-0.988,0.988,0.707,0,0,1.2394390963320703,1.2029699669146028
1000,-1,0.99,-0.988,1.0,0.707,0,0,1.2703695697838466,1.2488110655507478
1000,-1,0.99,-0.951,-1.0,0.707,0,0,1.2935543930659106,1.3268707953648378
1000,-1,0.99,-0.951,-0.988,0.707,0,0,1.2587355253224204,1.3022449913898329
1000,-1,0.99,-0.951,-0.951,0.707,0,0,1.2382431792003532,1.24304484276129
1000,-1,0.99,-0.951,-0.891,0.707,0,0,1.2503077763394044,1.3012971215369071
1000,-1,0.99,-0.951,-0.809,0.707,0,0,1.3062005562612593,1.334676004364644
1000,-1,0.99,-0.951,-0.707,0.707,0,0,1.2785889916425286,1.310425485180288
1000,-1,0.99,-0.951,-0.588,0.707,0,0,1.3084566289455004,1.3113770328528038
1000,-1,0.99,-0.951,-0.454,0.707,0,0,1.3043308866778944,1.2795429387681507
1000,-1,0.99,-0.951,-0.309,0.707,0,0,1.3166904449972325,1.3406691468904164
1000,-1,0.99,-0.951,-0.156,0.707,0,0,1.283816156066937,1.2851571511421933
1000,-1,0.99,-0.951,0.0,0.707,0,0,1.2984426566022043,1.2721847600580456
1000,-1,0.99,-0.951,0.156,0.707,0,0,1.2801401538648907,1.3011597022103771
1000,-1,0.99,-0.951,0.309,0.707,0,0,1.2760081387816284,1.2507890112649849
1000,-1,0.99,-0.951,0.454,0.707,0,0,1.2959966390449498,1.3083468774693023
1000,-1,0.99,-0.951,0.588,0.707,0,0,1.2968997137785676,1.2795213894524309
1000,-1,0.99,-0.951,0.707,0.707,0,0,1.2849055875264457,1.2856376676403867
1000,-1,0.99,-0.951,0.809,0.707,0,0,1.3175282483870747,1.3110855788969158
1000,-1,0.99,-0.951,0.891,0.707,0,0,1.276472957058661,1.2596425944804135
1000,-1,0.99,-0.951,0.951,0.707,0,0,1.2917139316163322,1.2542791881664737
1000,-1,0.99,-0.951,0.988,0.707,0,0,1.2772511622573484,1.2625677215020763
1000,-1,0.99,-0.951,1.0,0.707,0,0,1.29753832338149,1.2762835507825805
1000,-1,0.99,-0.891,-1.0,0.707,0,0,1.2150399516317303,1.2794714009143304
1000,-1,0.99,-0.891,-0.988,0.707,0,0,1.2438221362349375,1.2857647851893992
1000,-1,0.99,-0.891,-0.951,0.707,0,0,1.2332718106592535,1.314667178309314
1000,-1,0.99,-0.891,-0.891,0.707,0,0,1.3026190928299428,1.3499896520585901
1000,-1,0.99,-0.891,-0.809,0.707,0,0,1.2492826064603877,1.3330787352574538
1000,-1,0.99,-0.891,-0.707,0.707,0,0,1.285770927206218,1.3211046227765122
1000,-1,0.99,-0.891,-0.588,0.707,0,0,1.3044809474003676,1.3319979350434166
1000,-1,0.99,-0.891,-0.454,0.707,0,0,1.2745299449278564,1.3092985802323815
1000,-1,0.99,-0.891,-0.309,0.707,0,0,1.3012174131374274,1.3158567210528878
1000,-1,0.99,-0.891,-0.156,0.707,0,0,1.297451433752581,1.2802459534223216
1000,-1,0.99,-0.891,0.0,0.707,0,0,1.2706701757486387,1.2722737276463212
1000,-1,0.99,-0.891,0.156,0.707,0,0,1.2940728337591263,1.2715661991603973
1000,-1,0.99,-0.891,0.309,0.707,0,0,1.2967369634311499,1.3011042798561616
1000,-1,0.99,-0.891,0.454,0.707,0,0,1.311845423177544,1.3182031779311996
1000,-1,0.99,-0.891,0.588,0.707,0,0,1.2946940294762583,1.2732708086330482
1000,-1,0.99,-0.891,0.707,0.707,0,0,1.3034952601574705,1.2853871461565773
1000,-1,0.99,-0.891,0.809,0.707,0,0,1.2868618261806297,1.2702820830812356
1000,-1,0.99,-0.891,0.891,0.707,0,0,1.277813535004127,1.3002829149436248
1000,-1,0.99,-0.891,0.951,0.707,0,0,1.2867528376362354,1.2641712813426775
1000,-1,0.99,-0.891,0.988,0.707,0,0,1.2889176781887288,1.2758785717432537
1000,-1,0.99,-0.891,1.0,0.707,0,0,1.244220298369671,1.1793180031023203
1000,-1,0.99,-0.809,-1.0,0.707,0,0,1.2814090049357043,1.3271505192282615
1000,-1,0.99,-0.809,-0.988,0.707,0,0,1.2951687735914847,1.3204555971966891
1000,-1,0.99,-0.809,-0.951,0.707,0,0,1.2185900940536243,1.267222707031645
1000,-1,0.99,-0.809,-0.891,0.707,0,0,1.271343655546772,1.3297345566798078
1000,-1,0.99,-0.809,-0.809,0.707,0,0,1.2357184275467716,1.2648651225059075
1000,-1,0.99,-0.809,-0.707,0.707,0,0,1.3196913649822664,1.3369205700572129
1000,-1,0.99,-0.809,-0.588,0.707,0,0,1.2777089840650409,1.3309787524510808
1000,-1,0.99,-0.809,-0.454,0.707,0,0,1.2376210045991072,1.264634154996303
1000,-1,0.99,-0.809,-0.309,0.707,0,0,1.2344203589262723,1.2716325794494054
1000,-1,0.99,-0.809,-0.156,0.707,0,0,1.318389588855543,1.303926632079751
1000,-1,0.99,-0.809,0.0,0.707,0,0,1.3349732378979966,1.3368060547384961
1000,-1,0.99,-0.809,0.156,0.707,0,0,1.3178943646390149,1.317989450014051
1000,-1,0.99,-0.809,0.309,0.707,0,0,1.2770261848615478,1.2498695280843142
1000,-1,0.99,-0.809,0.454,0.707,0,0,1.2787668378618875,1.3189686232670055
1000,-1,0.99,-0.809,0.588,0.707,0,0,1.3245967665470983,1.3048716863095364
1000,-1,0.99,-0.809,0.707,0.707,0,0,1.2649496753134104,1.2251046680472288
1000,-1,0.99,-0.809,0.809,0.707,0,0,1.290840518343479,1.250704507174525
1000,-1,0.99,-0.809,0.891,0.707,0,0,1.2726623350493886,1.2506796629604282
1000,-1,0.99,-0.809,0.951,0.707,0,0,1.306805004865225,1.2597309754143846
1000,-1,0.99,-0.809,0.988,0.707,0,0,1.2019139708325373,1.1600305683426413
1000,-1,0.99,-0.809,1.0,0.707,0,0,1.2637425026442404,1.2199145848636503
1000,-1,0.99,-0.707,-1.0,0.707,0,0,1.187261877265797,1.2394374814872686
1000,-1,0.99,-0.707,-0.988,0.707,0,0,1.1442253689167352,1.2481297241154126
1000,-1,0.99,-0.707,-0.951,0.707,0,0,1.2046585594834427,1.2723384544955192
1000,-1,0.99,-0.707,-0.891,0.707,0,0,1.2014954045954058,1.2675229171194435
1000,-1,0.99,-0.707,-0.809,0.707,0,0,1.1990100124272225,1.247612097354963
1000,-1,0.99,-0.707,-0.707,0.707,0,0,1.2674763869012207,1.2711387037622348
1000,-1,0.99,-0.707,-0.588,0.707,0,0,1.2433710694829694,1.257800002947171
1000,-1,0.99,-0.707,-0.454,0.707,0,0,1.200490454063747,1.2672203594490836
